name,artist,popularity,genre,duration_ms,release_date,year,release_year,duration_min
Say You Won't Let Go,James Arthur,87,pop,211466,2016-10-28,2016.0,2016,3.5244333333333335
Everybody Talks,Neon Trees,79,pop,177280,2012-01-01,2012.0,2012,2.9546666666666668
Crazy In Love (feat. Jay-Z),Beyoncé,79,pop,236133,2003-06-24,2003.0,2003,3.93555
M-E-X-I-C-O (Feat. Billy Strings),Post Malone,48,pop,155928,2024-08-16,2024.0,2024,2.5988
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,83,pop,220800,2010-03-30,2010.0,2010,3.68
A Sky Full of Stars,Coldplay,88,pop,267866,2014-05-19,2014.0,2014,4.464433333333333
Kiss Me,Sixpence None The Richer,82,pop,208680,1997-11-22,1997.0,1997,3.478
California Sober (Feat. Chris Stapleton),Post Malone,56,pop,204411,2024-08-16,2024.0,2024,3.40685
I'm Good (Blue),David Guetta,88,pop,175238,2022-08-26,2022.0,2022,2.9206333333333334
Guy For That (Feat. Luke Combs),Post Malone,45,pop,164011,2024-08-16,2024.0,2024,2.7335166666666666
Maps,Maroon 5,84,pop,189960,2014-09-02,2014.0,2014,3.166
Passionfruit,Drake,81,pop,298940,2017-03-18,2017.0,2017,4.982333333333333
Young Dumb & Broke,Khalid,81,pop,202546,2017-04-27,2017.0,2017,3.375766666666667
obsessed,Olivia Rodrigo,80,pop,170541,2024-03-22,2024.0,2024,2.84235
Better in the Dark,Jordana,78,pop,155500,2021-10-13,2021.0,2021,2.591666666666667
Wrong Ones (Feat. Tim McGraw),Post Malone,49,pop,195822,2024-08-15,2024.0,2024,3.2637
LUNA,Feid,91,pop,196800,2023-12-01,2023.0,2023,3.28
Guy For That (Feat. Luke Combs),Post Malone,54,pop,164011,2024-08-16,2024.0,2024,2.7335166666666666
Devil I've Been (Feat. ERNEST),Post Malone,51,pop,182924,2024-08-16,2024.0,2024,3.0487333333333333
Goes Without Saying (Feat. Brad Paisley),Post Malone,52,pop,212353,2024-08-16,2024.0,2024,3.5392166666666665
Finer Things (Feat. Hank Williams Jr.),Post Malone,53,pop,185533,2024-08-16,2024.0,2024,3.092216666666667
Wrong Ones (Feat. Tim McGraw),Post Malone,52,pop,195822,2024-08-16,2024.0,2024,3.2637
Needed Me,Rihanna,82,pop,191600,2016-01-28,2016.0,2016,3.1933333333333334
What Don't Belong To Me,Post Malone,51,pop,207176,2024-08-16,2024.0,2024,3.452933333333333
Never Love You Again (Feat. Sierra Ferrell),Post Malone,49,pop,186861,2024-08-16,2024.0,2024,3.11435
Losers (Feat. Jelly Roll),Post Malone,50,pop,209038,2024-08-16,2024.0,2024,3.483966666666667
Yours,Post Malone,51,pop,199438,2024-08-16,2024.0,2024,3.3239666666666667
Finer Things (Feat. Hank Williams Jr.),Post Malone,46,pop,185533,2024-08-15,2024.0,2024,3.092216666666667
Your Love,The Outfield,82,pop,216466,1985-06-29,1985.0,1985,3.6077666666666666
Nosedive (Feat. Lainey Wilson),Post Malone,50,pop,192459,2024-08-16,2024.0,2024,3.20765
Missin’ You Like This (Feat. Luke Combs),Post Malone,49,pop,222781,2024-08-16,2024.0,2024,3.713016666666667
Have The Heart (Feat. Dolly Parton),Post Malone,50,pop,183333,2024-08-16,2024.0,2024,3.05555
I Had Some Help (Feat. Morgan Wallen),Post Malone,50,pop,178205,2024-08-16,2024.0,2024,2.970083333333333
